id,data_len,init,size,time
0,1000,N,0,0.0004756448
1,1000,N,1,0.00045210979999999997
2,1000,N,2,0.0004926609999999999
3,1000,N,3,0.000494448
4,1000,N,4,0.0004803686
5,1000,N,5,0.0004770004
6,1000,O,0,7.3034e-05
7,1000,O,1,5.451379999999999e-05
8,1000,O,2,5.73852e-05
9,1000,O,3,5.45092e-05
10,1000,O,4,5.39476e-05
11,1000,O,5,5.85016e-05
12,5000,N,0,0.0032230559999999998
13,5000,N,1,0.003719912
14,5000,N,2,0.0038417779999999997
15,5000,N,3,0.003557448
16,5000,N,4,0.0037069740000000005
17,5000,N,5,0.0036989920000000003
18,5000,O,0,0.0008325055999999999
19,5000,O,1,0.0010750316000000002
20,5000,O,2,0.0009588659999999998
21,5000,O,3,0.000999423
22,5000,O,4,0.000922504
23,5000,O,5,0.002045201
24,10000,N,0,0.005453782
25,10000,N,1,0.0053595480000000004
26,10000,N,2,0.0053614560000000006
27,10000,N,3,0.004862226
28,10000,N,4,0.005204146
29,10000,N,5,0.0049767
30,10000,O,0,0.00234837
31,10000,O,1,0.0023979319999999998
32,10000,O,2,0.00246778
33,10000,O,3,0.0026819699999999997
34,10000,O,4,0.0028069839999999998
35,10000,O,5,0.002467412
36,100000,N,0,0.0661294
37,100000,N,1,0.05719571999999999
38,100000,N,2,0.059251319999999996
39,100000,N,3,0.05794212
40,100000,N,4,0.06233502
41,100000,N,5,0.0605634
42,100000,O,0,0.024063499999999998
43,100000,O,1,0.01996114
44,100000,O,2,0.0234086
45,100000,O,3,0.01924444
46,100000,O,4,0.02110616
47,100000,O,5,0.02078114
48,1000000,N,0,0.247471
49,1000000,N,1,0.1581462
50,1000000,N,2,0.16751319999999997
51,1000000,N,3,0.1795868
52,1000000,N,4,0.16706680000000002
53,1000000,N,5,0.155311
54,1000000,O,0,0.27442979999999995
55,1000000,O,1,0.1681136
56,1000000,O,2,0.18130280000000001
57,1000000,O,3,0.1814052
58,1000000,O,4,0.1684482
59,1000000,O,5,0.1749824
60,2000000,N,0,0.2392646
61,2000000,N,1,0.1518348
62,2000000,N,2,0.1647308
63,2000000,N,3,0.14789
64,2000000,N,4,0.15143560000000003
65,2000000,N,5,0.1558458
66,2000000,O,0,0.5665815999999999
67,2000000,O,1,0.33660959999999995
68,2000000,O,2,0.34606400000000004
69,2000000,O,3,0.3406322
70,2000000,O,4,0.3449778
71,2000000,O,5,0.3519804
