,data_len,init,size,time
0,1000,N,1,0.000232547
1,1000,N,2,0.00014834100000000002
2,1000,N,3,0.000155283
3,1000,N,4,0.0002147506
4,1000,N,5,0.0003551098
5,1000,N,6,0.0003475494
6,1000,N,7,0.0004367558
7,1000,N,8,0.00045744259999999995
8,1000,N,9,0.09972158
9,1000,N,10,0.13996974
10,1000,O,1,0.0001906594
11,1000,O,2,0.0001476406
12,1000,O,3,0.0001894158
13,1000,O,4,0.00016616080000000002
14,1000,O,5,0.0003518924
15,1000,O,6,0.00034106
16,1000,O,7,0.0004751216
17,1000,O,8,0.000402515
18,1000,O,9,0.10026629999999999
19,1000,O,10,0.10416788000000002
20,5000,N,1,0.0012309559999999998
21,5000,N,2,0.0006800874
22,5000,N,3,0.0006364054
23,5000,N,4,0.00067571
24,5000,N,5,0.0008859578
25,5000,N,6,0.0007612678
26,5000,N,7,0.0008153756
27,5000,N,8,0.0008372087999999999
28,5000,N,9,0.0905369
29,5000,N,10,0.11393822
30,5000,O,1,0.0008607948000000001
31,5000,O,2,0.0006577338
32,5000,O,3,0.0006461373999999999
33,5000,O,4,0.0005945536
34,5000,O,5,0.0006810752
35,5000,O,6,0.000677987
36,5000,O,7,0.0006615070000000001
37,5000,O,8,0.0006319002
38,5000,O,9,0.08788954000000002
39,5000,O,10,0.12181820000000002
40,10000,N,1,0.002315184
41,10000,N,2,0.0014563260000000002
42,10000,N,3,0.0009842396
43,10000,N,4,0.0011677478
44,10000,N,5,0.001185852
45,10000,N,6,0.001114214
46,10000,N,7,0.002110996
47,10000,N,8,0.0009934678
48,10000,N,9,0.09562334
49,10000,N,10,0.11179636
50,10000,O,1,0.0017084640000000002
51,10000,O,2,0.001264798
52,10000,O,3,0.0012601580000000002
53,10000,O,4,0.001259982
54,10000,O,5,0.0011626979999999998
55,10000,O,6,0.001183558
56,10000,O,7,0.0010605038
57,10000,O,8,0.0009429765999999999
58,10000,O,9,0.11142794
59,10000,O,10,0.10759684
60,100000,N,1,0.026295080000000005
61,100000,N,2,0.01377914
62,100000,N,3,0.012890519999999999
63,100000,N,4,0.011944915999999998
64,100000,N,5,0.0121591
65,100000,N,6,0.01013205
66,100000,N,7,0.008832716000000001
67,100000,N,8,0.007985059999999999
68,100000,N,9,0.0928231
69,100000,N,10,0.11122292
70,100000,O,1,0.02126588
71,100000,O,2,0.01549414
72,100000,O,3,0.013399600000000001
73,100000,O,4,0.01410536
74,100000,O,5,0.012394740000000001
75,100000,O,6,0.01113808
76,100000,O,7,0.00980559
77,100000,O,8,0.007845446
78,100000,O,9,0.09059854
79,100000,O,10,0.16692200000000001
80,1000000,N,1,0.3239318
81,1000000,N,2,0.1785562
82,1000000,N,3,0.16231299999999999
83,1000000,N,4,0.1434876
84,1000000,N,5,0.1209006
85,1000000,N,6,0.1083812
86,1000000,N,7,0.10077908
87,1000000,N,8,0.09240978
88,1000000,N,9,0.23726320000000004
89,1000000,N,10,0.2637442
90,1000000,O,1,0.26370780000000005
91,1000000,O,2,0.19067720000000002
92,1000000,O,3,0.1654388
93,1000000,O,4,0.1704126
94,1000000,O,5,0.1419866
95,1000000,O,6,0.12259360000000001
96,1000000,O,7,0.12121459999999999
97,1000000,O,8,0.1199014
98,1000000,O,9,0.238442
99,1000000,O,10,0.344277
100,2000000,N,1,0.6462638
101,2000000,N,2,0.3775634
102,2000000,N,3,0.3012938
103,2000000,N,4,0.263647
104,2000000,N,5,0.24725200000000003
105,2000000,N,6,0.234868
106,2000000,N,7,0.223323
107,2000000,N,8,0.19455019999999998
108,2000000,N,9,0.404292
109,2000000,N,10,0.49914620000000004
110,2000000,O,1,0.5278648
111,2000000,O,2,0.43809900000000007
112,2000000,O,3,0.3873726
113,2000000,O,4,0.2788482
114,2000000,O,5,0.2800418
115,2000000,O,6,0.2917356
116,2000000,O,7,0.25333459999999997
117,2000000,O,8,0.21440019999999999
118,2000000,O,9,0.40870639999999997
119,2000000,O,10,0.4550622000000001
